arm,dimension,category,rosters,averagePreDraftGrade,averageRealizedOptimalPoints,realizedStddev,realizedTopDecileFrequency
"balanced-primary","QB count","1 QB","15299","75.678832","1730.640773","149.654174","0.080136"
"balanced-primary","QB count","2+ QB","34701","78.639723","1756.400856","148.963151","0.108758"
"balanced-primary","TE count","1 TE","19216","76.027001","1731.646204","147.533986","0.077279"
"balanced-primary","TE count","2+ TE","30784","78.799138","1759.050995","149.99109","0.114183"
"balanced-primary","RB count","4 RB","10187","77.997251","1746.512665","149.194314","0.099342"
"balanced-primary","RB count","5 RB","14045","81.290172","1771.102083","148.325917","0.13058"
"balanced-primary","RB count","6+ RB","18343","76.63746","1750.339905","146.204169","0.094696"
"balanced-primary","WR count","5 WR","10188","79.38594","1765.279291","146.150169","0.114939"
"balanced-primary","WR count","6 WR","14254","81.076953","1763.049593","148.252662","0.118633"
"balanced-primary","WR count","7+ WR","15490","75.276189","1725.594587","151.834525","0.079148"
"balanced-primary","K timing","Rounds 1-14","18731","77.569608","1767.382899","145.243617","0.120495"
"balanced-primary","K timing","Round 15","4371","77.222104","1759.815795","143.376058","0.103866"
"balanced-primary","K timing","Round 16","8223","77.002167","1745.063738","151.507917","0.098261"
"balanced-primary","K timing","Round 17","18675","78.34027","1728.475301","151.940001","0.079304"
"balanced-primary","D/ST timing","Rounds 1-14","28087","77.960368","1742.692006","149.193953","0.092427"
"balanced-primary","D/ST timing","Round 15","2487","77.591223","1745.126023","147.73191","0.082429"
"balanced-primary","D/ST timing","Round 16","6304","77.78537","1735.78566","147.132261","0.08328"
"balanced-primary","D/ST timing","Round 17","13122","77.2509","1767.750928","150.423778","0.127572"
"balanced-primary","Common construction","2/5/6/2/1/1","3269","85.461328","1818.859058","140.927403","0.199143"
