profileTypeId,primaryAppearances,secondaryAppearances,combinedAppearances,averageOverallScore,medianOverallScore,standardDeviation,p10,p25,p50,p75,p90,averageRank,firstPlaceFrequency,top3Frequency,bottom3Frequency,starterStrength,positionalBalance,benchDepth,valueVsAdp,scarcityCaptured,upside,byeManagement,rosterEfficiency,lineupLegality,waiverReadiness,estimatedScheduledWaiverPressure,avg_QB,avg_RB,avg_WR,avg_TE,avg_K,avg_DST
"No Chumps","5000","5000","10000","86.68378200880062","86.92380964705882","3.552984063787965","81.97621405364708","84.33967058588235","86.92380964705882","89.25480985647059","91.10456812800001","2.1681","0.4923","0.8292","0.0124","80.58503416488885","95.9836","69.9320573766666","46.04466221176473","65.6605060377867","51.69928823529621","70.853","91.1982","100","67.6236","2.3126","1.9307","5.1075","6.1093","1.8138","1.0297","1.009"
"Pelota Negro","2353","2500","4853","80.9651259887923","81.32482547764707","4.849006135429921","74.57428856658822","78.02932605176471","81.32482547764707","84.3776791002353","86.84324242560001","5.030496600041212","0.0865444055223573","0.33422625180300847","0.20811868947043066","77.26554502644413","93.97218215536782","68.83642017721014","54.46657684149285","60.31576786663897","51.10082302032785","65.84792911601072","74.41747372759119","100","65.9707397486091","2.430661446527921","2.355244178858438","4.6239439521945185","5.665155573871832","2.270966412528333","1.0420358541108592","1.042654028436019"
"El Pacifesta","2353","2500","4853","80.67433875810056","81.02053703717651","4.968184199057024","74.0473195482353","77.49986647529414","81.02053703717651","84.27199866352942","86.69195929411764","5.226251803008449","0.0706779311765918","0.3123840923140326","0.23634865031939006","77.54348791079958","94.2194518854317","68.41752019094706","54.338795990351606","61.19755797560395","51.05121150046733","65.38635895322481","71.91057078096023","100","65.7514939212858","2.4463218627653","2.2072944570368844","5.144240675870596","5.130022666391922","2.41211621677313","1.072944570368844","1.0333814135586235"
"NALGATORZ","2353","2500","4853","80.23424659354959","80.58772544941178","5.170965490391206","73.49468552470589","77.09606991193274","80.58772544941178","83.89058372329413","86.61615875388233","5.471460951988461","0.0653204203585411","0.28539048011539253","0.27076035441994645","76.98183845135883","94.21388831650525","69.3843623998901","54.2207783663228","60.4184006109446","51.13403473897357","64.0292602513909","74.03090871625798","100","62.067587059550796","2.7094580671749435","1.8666804038738924","5.5027817844632185","5.643725530599629","1.7788996497012157","1.048835771687616","1.159076859674428"
"DA BRONCOS","2353","2500","4853","80.06999144835592","80.55870197647062","5.154144099820575","73.11476145769416","76.68481545411763","80.55870197647062","83.77791124705882","86.4275643369412","5.505048423655471","0.07150216361013806","0.2769420976715434","0.2827117247063672","77.42339233647003","93.93941891613434","68.99060860223923","54.186317111307815","60.57584991830545","51.13773166385917","63.929940243148565","71.64228312384093","100","65.20049453946012","2.4856789614671335","2.234906243560684","5.464454976303317","5.199464248918195","1.8382443849165464","1.0795384298372142","1.1833917164640428"
"Cam + Guy","2353","2500","4853","79.90061083280048","80.20093823058825","5.148960868235657","73.10447821552944","76.6096721882353","80.20093823058825","83.58016052705885","86.25117995482357","5.665155573871832","0.06119925819080981","0.2526272408819287","0.2944570368844014","76.87217088261545","93.75334844426128","69.67776479291162","54.10304452067266","59.9956774090451","51.11637434697824","64.22872450030908","73.78858438079538","100","61.340614053162994","2.7613847104883575","1.9169585823202142","5.350092726148774","5.887286214712549","1.6328044508551411","1.0694415825262724","1.1434164434370493"
"Lumber Jack","2353","2500","4853","79.85851382039681","80.33656163764705","5.237469752737489","72.83528480941175","76.58014273882355","80.33656163764705","83.45873821176473","86.35428479811769","5.620647022460334","0.06346589738306202","0.25942715845868536","0.2893055841747373","76.90148217688935","93.32928085720174","69.30080389449836","54.24327496636422","60.16852748280615","51.056169016133936","63.962909540490415","74.70018545229755","100","61.98969709458067","2.7150216361013806","1.9515763445291572","5.029466309499279","6.074799093344323","1.8106325983927467","1.0597568514321039","1.0737688028023902"
"AMERICAS TEAM","2353","2500","4853","79.85350163975457","80.23943151999998","5.238276147329829","72.93855198117647","76.49943331764706","80.23943151999998","83.54960874352942","86.25362986917645","5.628271172470637","0.0618174325159695","0.26334226251803006","0.29116010715021634","76.80420989353664","93.75273026993612","69.57755168486848","54.240218567047755","59.825059437410204","51.13262869541055","64.04945394601278","73.87224397280033","100","62.09932000824232","2.707191427982691","2.082423243354626","5.266021017927056","5.838862559241706","1.6128168143416444","1.0851019987636514","1.1147743663713168"
"SHOW ME YOUR TDS","2353","2500","4853","79.80974870024646","80.26075623529405","5.346417678409443","72.67276833392941","76.39792941176472","80.26075623529405","83.68453849411763","86.22244485835294","5.634246857613847","0.05934473521533072","0.2684937152276942","0.29960848959406555","77.08831416443437","93.2087368637956","69.25521020262389","54.07470595507917","60.24831491698216","51.05527205730912","63.73954255099938","74.52709664125284","100","62.208942921903976","2.699361219864002","1.9219039769214918","4.88604986606223","6.219657943540079","1.7751906037502576","1.0480115392540696","1.149186070471873"
"R Kelly's Golden Showers","2353","2500","4853","79.78158347558404","80.16427676235297","5.375217372634258","72.60280413176471","76.50175119999997","80.16427676235297","83.60548687058827","86.39175447981175","5.651967854935092","0.06222954873274263","0.26334226251803006","0.2969297341850402","77.02203293541224","92.69194312796209","69.30052209492405","54.21168669470665","60.06479157852421","51.11531981430615","64.37667422213065","74.36843189779518","100","62.826293014630124","2.655264784669277","2.082217185246239","4.636719554914486","6.342468576138471","1.7927055429631156","1.0760354419946425","1.0698536987430456"
"Easy-E Dubs","2353","2500","4853","79.46471377475689","79.75969131294116","5.412274737260314","72.1813059275294","76.00908550588237","79.75969131294116","83.32144633411765","86.23412266541177","5.8306202349062435","0.06346589738306202","0.24108798681228105","0.32660210179270555","76.64539084460921","93.52586029260252","69.5629580630537","54.1015235209269","60.758921634405674","51.139064981031204","63.702864207706575","73.23181537193489","100","59.49144858850196","2.893467957964146","1.837008036266227","5.582114156192046","5.816402225427571","1.652792087368638","1.0313208324747578","1.0803626622707603"
"Go Diego Go!!!","2353","2500","4853","79.42197273259087","79.85881254588233","5.178485207301399","72.44686333628235","76.14866404705882","79.85881254588233","83.05736871905889","85.85329843877648","5.879456006593859","0.04574490006181743","0.22996084895940655","0.32145064908304144","76.44751985438569","93.44982485060787","69.78138898138587","54.213173367595694","59.552529670321285","51.03807226579138","64.15207088398928","74.26169379765093","100","59.86070471873068","2.8670925200906656","1.8699773336080774","5.276323923346384","6.093962497424274","1.660828353595714","1.0370904595095818","1.0618174325159695"
"Kickers Are People Too","2353","2500","4853","79.38415682541273","79.82717605647058","5.393850891724045","72.1633779632941","75.93358343529407","79.82717605647058","83.2251298352941","86.06183845270589","5.854729033587471","0.058108386565011334","0.24005769627034823","0.32598392746754584","76.84278802207109","93.44364310735628","69.28482520365415","54.128308650804335","60.87336907074856","51.073114265282214","63.62332577786936","72.29425097877602","100","60.69153101174531","2.807747784875335","1.9297341850401812","5.6119925819080985","5.591386771069441","1.7576756645373997","1.0339995878837833","1.0752112095610962"
"Pimpin since '99","2352","2500","4852","79.08093318347593","79.47735388235293","5.574464222567156","71.69236596705886","75.60086023529414","79.47735388235293","83.14927700235293","85.8837944235294","5.9830997526793075","0.050700741962077495","0.22568013190436934","0.3474855729596043","76.73769103050265","93.38664468260511","69.49454285105823","54.18744280102813","59.95712886463848","51.079421463557196","64.52267106347898","70.36685902720528","100","61.39323990107172","2.75762572135202","1.8575845012366035","6.1424154987633965","5.0043281121187135","1.8847897774113767","1.043487221764221","1.0673948887056883"
"URINE TROUBLE","2353","2500","4853","78.90636519659193","79.39591209411765","5.6981491400894475","71.29690281411764","75.4262343152941","79.39591209411765","82.94598969411769","85.78325737411765","6.053575108180507","0.04986606222954873","0.21924582732330516","0.35545023696682465","76.52352416328954","93.6717494333402","69.84173122741934","54.1447551423618","59.97913085344571","51.239584974728196","63.94147949721822","70.34411704100556","100","59.22316093138265","2.9126313620440962","1.9771275499690912","6.249742427364517","5.232021430043273","1.3523593653410262","1.0467751906037503","1.1419740366783433"
"Dee Tee","2353","2500","4853","78.36140175341448","78.75307673815128","5.714112553329947","70.70028310588239","74.5735072847059","78.75307673815128","82.5026846117647","85.4172767849412","6.295281269317948","0.044508551411498044","0.19719760972594272","0.39604368431897796","76.27501496531345","92.81990521327015","69.90801506284774","54.133579423279556","60.0844702759177","51.17367062217503","63.52936328044508","70.66144652792087","100","58.45291572223367","2.967648876983309","1.8291778281475377","5.970945806717494","5.531835977745724","1.6173500927261488","1.0239027405728416","1.0267875540902534"
"Neutral / No History","5000","2500","7500","77.71276194261782","78.29081607865542","6.351159844600122","69.17026360470585","73.7818123764706","78.29081607865542","82.30907689411765","85.42033662155295","6.487866666666666","0.0424","0.18746666666666667","0.4342666666666667","75.65881293866664","92.3844","70.05090357955551","54.408772329412024","60.24173880302392","51.137090196080365","63.392266666666664","69.88506666666666","100","57.2608","3.0528","1.8532","5.6348","5.876","1.6136","1.0101333333333333","1.0122666666666666"
"Blonx Bombers","2353","2500","4853","77.31667956653392","77.63542927999998","5.609603677112966","69.81495310117646","73.64662955294116","77.63542927999998","81.27164023529414","84.19715936941176","6.8477230579023285","0.024520914898001237","0.13641046775190604","0.4759942303729652","75.47897695537728","93.24273645167938","70.87649873342963","54.22431330529317","57.12790030542138","51.09906546587359","63.14032557181125","70.3296929734185","100","56.28642077065732","3.1223985163816197","1.785905625386359","6.319802184215949","5.48588501957552","1.3222748815165877","1.0292602513908922","1.0568720379146919"
"Jerry-Rigged","2353","2500","4853","77.28957587518842","77.70328285176468","6.309329386802361","68.83608284047058","72.90668370823529","77.70328285176468","81.98914797364706","85.28732372329412","6.661034411704101","0.04162373789408613","0.17762208942921903","0.46672161549556973","76.37681992078205","89.08860498660623","69.64400401126456","54.56019694306738","61.76147987792719","51.0397934570501","62.920667628271175","69.32000824232433","100","60.6396043684319","2.811456830826293","1.937976509375644","3.892849783638986","7.313620440964352","1.8017720997321245","1.0321450649083042","1.0216361013805892"
