position,upperTier,lowerTier,upperCount,lowerCount,lastUpperPlayer,lastUpperPositionRank,lastUpperAdp,firstLowerPlayer,firstLowerPositionRank,firstLowerAdp,adpGap,intrinsicGap,situationGap,draftStrengthGap,upperInternalAdpSpread,lowerInternalAdpSpread,upperMaxInternalAdpGap,lowerMaxInternalAdpGap,flags
"QB","1","2","1","1","Josh Allen","1","25.89","Lamar Jackson","2","52.82","26.93","1.6295500000000018","6.5449999999999875","1.9253191014094568","0","0","0","0","SUPPORTED_BY_LARGE_ADP_GAP|SINGLE_PLAYER_TIER"
"QB","2","3","1","4","Lamar Jackson","2","52.82","Joe Burrow","3","67.12","14.300000000000004","0","-5.609999999999999","1.2327825473773046","0","9.810000000000002","0","5.390000000000001","SUPPORTED_BY_LARGE_ADP_GAP|SINGLE_PLAYER_TIER|MOSTLY_MARKET_DRIVEN"
"QB","3","4","4","5","Jalen Hurts","6","76.93","Caleb Williams","7","89.99","13.059999999999988","0","0.9350000000000023","0.6253268248453665","9.810000000000002","7.829999999999998","5.390000000000001","4.279999999999987","SUPPORTED_BY_LARGE_ADP_GAP|MOSTLY_MARKET_DRIVEN"
"QB","4","5","5","5","Justin Herbert","11","97.82","Patrick Mahomes","12","121.48","23.66000000000001","0","11.609000000000009","1.1609000000000052","7.829999999999998","6.540000000000006","4.279999999999987","4.570000000000007","SUPPORTED_BY_LARGE_ADP_GAP|MOSTLY_MARKET_DRIVEN"
"QB","5","6","5","3","Brock Purdy","16","128.02","Kyler Murray","17","142.37","14.349999999999994","0","0","-1.2432402372680542","6.540000000000006","9.189999999999998","4.570000000000007","8.110000000000014","SUPPORTED_BY_LARGE_ADP_GAP|LARGE_ADP_GAP_WITHOUT_TIER_BREAK|MOSTLY_MARKET_DRIVEN"
"QB","6","7","3","5","Tyler Shough","19","151.56","Jordan Love","20","165.41","13.849999999999994","0","2.805000000000007","1.5237402372680577","9.189999999999998","26.400000000000006","8.110000000000014","8.689999999999998","SUPPORTED_BY_LARGE_ADP_GAP|LARGE_INTERNAL_ADP_SPREAD|LARGE_ADP_GAP_WITHOUT_TIER_BREAK|MOSTLY_MARKET_DRIVEN"
"QB","7","8","5","5","C.J. Stroud","24","191.81","Daniel Jones","25","194.66","2.8499999999999943","0","-0.9350000000000023","-0.0934999999999988","26.400000000000006","9.390000000000015","8.689999999999998","4.5","LARGE_INTERNAL_ADP_SPREAD|LARGE_ADP_GAP_WITHOUT_TIER_BREAK"
"QB","8","9","5","1","Aaron Rodgers","29","204.05","J.J. McCarthy","30","263.04","58.99000000000001","3.7955000000000005","16.83","1.5208256277773273","9.390000000000015","0","4.5","0","SUPPORTED_BY_LARGE_ADP_GAP|SINGLE_PLAYER_TIER"
"RB","1","2","8","3","Chase Brown","8","12.56","Saquon Barkley","9","15.44","2.879999999999999","2.231774999999999","-8.414999999999992","-0.31032400415953276","11.24","1.7300000000000022","3.87","0.9500000000000011",""
"RB","2","3","3","8","Kenneth Walker III","11","17.17","Derrick Henry","12","21.72","4.549999999999997","2.231774999999999","0","5.703511456281348","1.7300000000000022","18.18","0.9500000000000011","4.329999999999998","LARGE_INTERNAL_ADP_SPREAD"
"RB","3","4","8","7","Travis Etienne","19","39.9","Bucky Irving","20","40.69","0.7899999999999991","0","-6.5449999999999875","-1.1757442663229156","18.18","15","4.329999999999998","3.719999999999999","VERY_SMALL_ADP_GAP|LARGE_INTERNAL_ADP_SPREAD"
"RB","4","5","7","8","Bhayshul Tuten","26","55.69","Jaylen Warren","27","66.23","10.540000000000006","-4.220000000000002","3.739999999999995","-1.510155733677088","15","15.209999999999994","3.719999999999999","5.510000000000005","SUPPORTED_BY_LARGE_ADP_GAP"
"RB","5","6","8","6","Chuba Hubbard","34","81.44","Jordan Mason","35","82.2","0.7600000000000051","0","4.311999999999998","-0.6613862391749947","15.209999999999994","11.959999999999994","5.510000000000005","8","VERY_SMALL_ADP_GAP|LARGE_ADP_GAP_WITHOUT_TIER_BREAK"
"RB","6","7","6","8","Kenneth Gainwell","40","94.16","Aaron Jones","41","110.25","16.090000000000003","0","-3.740000000000009","0.7185862391749964","11.959999999999994","19.75","8","5.489999999999995","SUPPORTED_BY_LARGE_ADP_GAP|LARGE_INTERNAL_ADP_SPREAD|LARGE_ADP_GAP_WITHOUT_TIER_BREAK|MOSTLY_MARKET_DRIVEN"
"RB","7","8","8","3","Tyler Allgeier","48","130","Isiah Pacheco","49","136.93","6.930000000000007","0","-1.2469999999999999","-1.7653099929924636","19.75","1.7099999999999795","5.489999999999995","1.5","LARGE_INTERNAL_ADP_SPREAD|MOSTLY_MARKET_DRIVEN"
"RB","8","9","3","8","Jonah Coleman","51","138.64","Tank Bigsby","52","152.63","13.990000000000009","0","-8.635999999999996","0.7770099929924612","1.7099999999999795","29.74000000000001","1.5","8.680000000000007","SUPPORTED_BY_LARGE_ADP_GAP|LARGE_INTERNAL_ADP_SPREAD|LARGE_ADP_GAP_WITHOUT_TIER_BREAK|MOSTLY_MARKET_DRIVEN"
