name,old_status,new_status,old_health,new_health,summary
D.J. Moore,QUESTIONABLE,NO_CURRENT_INJURY_FLAG,70,92,No current injury flag found in the public CBS or NFFC injury listings at retrieval.
Tyler Warren,QUESTIONABLE_MINOR,EXPECTED_WEEK1_READY,82,82,Short-term groin/abductor strain; public reporting expects a return in roughly a week and does not indicate a Week 1 threat.
Jameson Williams,QUESTIONABLE,NO_CURRENT_INJURY_FLAG,74,92,No current injury flag found in the public CBS or NFFC injury listings at retrieval.
Carnell Tate,NO_CURRENT_INJURY_FLAG,QUESTIONABLE,92,68,Undisclosed; Questionable for Week 1 vs. N.Y. Jets; NFFC listed date 8/23/2026.
D.K. Metcalf,QUESTIONABLE_MINOR,QUESTIONABLE,80,80,Undisclosed; Questionable for Week 1 vs. Atlanta; NFFC listed date 8/21/2026.
Jacory Croskey-Merritt,NO_CURRENT_INJURY_FLAG,QUESTIONABLE,92,68,Undisclosed; Questionable for Week 1 at Philadelphia; NFFC listed date 8/28/2026.
Jakobi Meyers,NO_CURRENT_INJURY_FLAG,QUESTIONABLE,92,68,Hand; Questionable for Week 1 vs. Cleveland; NFFC listed date 8/28/2026.
Jayden Higgins,SEASON_ENDING_ACL,OUT_SEASON,5,5,Confirmed torn ACL; out for the 2026 season and retained for identity/history.
Khalil Shakir,NO_CURRENT_INJURY_FLAG,QUESTIONABLE,92,68,Undisclosed; Questionable for Week 1 at Houston; NFFC listed date 8/27/2026.
Tyreek Hill,NO_CURRENT_INJURY_FLAG,QUESTIONABLE,92,68,Knee - ACL; QUESTIONABLE; NFFC listed date 9/13/2026.
Jordan James,NO_CURRENT_INJURY_FLAG,QUESTIONABLE,92,68,Ribs; Questionable for Week 1 at L.A. Rams; NFFC listed date 8/27/2026.
Ty Johnson,NO_CURRENT_INJURY_FLAG,QUESTIONABLE,92,68,Knee; Questionable for Week 1 at Houston; NFFC listed date 8/22/2026.
Emanuel Wilson,NO_CURRENT_INJURY_FLAG,QUESTIONABLE,92,68,Hamstring; Questionable for Week 1 vs. New England; NFFC listed date 8/23/2026.
Tre' Harris,NO_CURRENT_INJURY_FLAG,QUESTIONABLE,92,68,Undisclosed; Questionable for Week 1 vs. Arizona; NFFC listed date 8/27/2026.
Chris Brazzell II,NO_CURRENT_INJURY_FLAG,OUT_SEASON,92,10,Knee; IR. Injured Reserve; NFFC listed date 2/15/2027.
Chris Bell,NO_CURRENT_INJURY_FLAG,QUESTIONABLE,92,68,Knee - ACL; Questionable for Week 1 at Las Vegas; NFFC listed date 8/22/2026.
Brenen Thompson,NO_CURRENT_INJURY_FLAG,QUESTIONABLE,92,68,Undisclosed; Questionable for Week 1 vs. Arizona; NFFC listed date 8/27/2026.
Skyler Bell,NO_CURRENT_INJURY_FLAG,QUESTIONABLE,92,68,Lower Body; Questionable for Week 1 at Houston; NFFC listed date 8/27/2026.
Kendrick Law,NO_CURRENT_INJURY_FLAG,OUT_SEASON,92,10,Knee - ACL; IR. Injured Reserve; NFFC listed date 2/15/2027.
Joe Royer,NO_CURRENT_INJURY_FLAG,QUESTIONABLE,92,75,Personal; Questionable for Week 1 at Jacksonville; NFFC listed date 8/27/2026.
Kevin Coleman Jr.,NO_CURRENT_INJURY_FLAG,QUESTIONABLE,92,68,Undisclosed; Questionable for Week 1 at Las Vegas; NFFC listed date 8/22/2026.
Jaren Kanak,NO_CURRENT_INJURY_FLAG,OUT_SEASON,92,10,Pectoral; IR. Injured Reserve; NFFC listed date 2/15/2027.
Carsen Ryan,NO_CURRENT_INJURY_FLAG,QUESTIONABLE,92,68,Foot; Questionable for Week 1 at Jacksonville; NFFC listed date 8/22/2026.
