name,availability_status,health_score,injury,injury_summary,injury_source,injury_as_of,nffc_return_date,nffc_date_semantics,nffc_evidence_use,nffc_status,cbs_updated,cbs_status
Jahmyr Gibbs,NO_CURRENT_INJURY_FLAG,92,,No current injury flag found in the public CBS listing at retrieval.,https://www.cbssports.com/nfl/injuries/,2026-08-22T17:30:00Z,,RETURN_DATE_NOT_PUBLICATION,NONE,,,
Bijan Robinson,NO_CURRENT_INJURY_FLAG,92,,No current injury flag found in the public CBS listing at retrieval.,https://www.cbssports.com/nfl/injuries/,2026-08-22T17:30:00Z,,RETURN_DATE_NOT_PUBLICATION,NONE,,,
Ja'Marr Chase,NO_CURRENT_INJURY_FLAG,92,,No current injury flag found in the public CBS listing at retrieval.,https://www.cbssports.com/nfl/injuries/,2026-08-22T17:30:00Z,,RETURN_DATE_NOT_PUBLICATION,NONE,,,
Puka Nacua,QUESTIONABLE,68,Groin,"Groin; Questionable for Week 1 vs. San Francisco; CBS updated Thu, Aug 13; NFFC Return Date 8/22/2026 is non-publication metadata.",https://www.cbssports.com/nfl/injuries/,2026-08-22T17:30:00Z,8/22/2026,RETURN_DATE_NOT_PUBLICATION,NFFC_SECONDARY_CBS_PRIMARY,QUESTIONABLE Groin,"Thu, Aug 13",Groin; Questionable for Week 1 vs. San Francisco
Christian McCaffrey,QUESTIONABLE,62,Undisclosed,"Undisclosed; Questionable for Week 1 at L.A. Rams; CBS updated Fri, Aug 21; NFFC Return Date 8/27/2026 is non-publication metadata.",https://www.cbssports.com/nfl/injuries/,2026-08-22T17:30:00Z,8/27/2026,RETURN_DATE_NOT_PUBLICATION,FUTURE_RETURN_DATE_CORROBORATED_BY_CURRENT_CBS,QUESTIONABLE Undisclosed,"Fri, Aug 21",Undisclosed; Questionable for Week 1 at L.A. Rams
Jaxon Smith-Njigba,NO_CURRENT_INJURY_FLAG,92,,No current injury flag found in the public CBS listing at retrieval.,https://www.cbssports.com/nfl/injuries/,2026-08-22T17:30:00Z,,RETURN_DATE_NOT_PUBLICATION,NONE,,,
Jonathan Taylor,NO_CURRENT_INJURY_FLAG,92,,No current injury flag found in the public CBS listing at retrieval.,https://www.cbssports.com/nfl/injuries/,2026-08-22T17:30:00Z,,RETURN_DATE_NOT_PUBLICATION,NONE,,,
Ashton Jeanty,NO_CURRENT_INJURY_FLAG,92,,No current injury flag found in the public CBS listing at retrieval.,https://www.cbssports.com/nfl/injuries/,2026-08-22T17:30:00Z,,RETURN_DATE_NOT_PUBLICATION,NONE,,,
Amon-Ra St. Brown,NO_CURRENT_INJURY_FLAG,92,,No current injury flag found in the public CBS listing at retrieval.,https://www.cbssports.com/nfl/injuries/,2026-08-22T17:30:00Z,,RETURN_DATE_NOT_PUBLICATION,NONE,,,
James Cook,NO_CURRENT_INJURY_FLAG,92,,No current injury flag found in the public CBS listing at retrieval.,https://www.cbssports.com/nfl/injuries/,2026-08-22T17:30:00Z,,RETURN_DATE_NOT_PUBLICATION,NONE,,,
