name,position,team,bye,fantasypros_ppr,rtsports_ppr,fantasydata_ppr,ffc_ppr,sleeper_ppr,source_count,planning_adp,source_note
Jahmyr Gibbs,RB,DET,6,1,1,1,1.6,1.1,4,1.05,FantasyPros PPR composite + FantasyData PPR + FFC PPR + Sleeper PPR
Bijan Robinson,RB,ATL,11,2,2,2,1.9,2.6,4,2,FantasyPros PPR composite + FantasyData PPR + FFC PPR + Sleeper PPR
Ja'Marr Chase,WR,CIN,6,3,3,3,3.9,3.8,4,3.4,FantasyPros PPR composite + FantasyData PPR + FFC PPR + Sleeper PPR
Puka Nacua,WR,LAR,11,4,4,4,3.1,4.4,4,4,FantasyPros PPR composite + FantasyData PPR + FFC PPR + Sleeper PPR
Christian McCaffrey,RB,SF,8,5.6,5,5,6.5,5.5,4,5.55,FantasyPros PPR composite + FantasyData PPR + FFC PPR + Sleeper PPR
Jaxon Smith-Njigba,WR,SEA,11,,,6,5.4,6.1,3,6,FantasyData PPR + FFC PPR + Sleeper PPR
Jonathan Taylor,RB,IND,13,,,7,7.4,6.1,3,7,FantasyData PPR + FFC PPR + Sleeper PPR
Ashton Jeanty,RB,LV,13,,,10,15.2,13.8,3,13.8,FantasyData PPR + FFC PPR + Sleeper PPR
Amon-Ra St. Brown,WR,DET,6,,,8,6.3,8.4,3,8,FantasyData PPR + FFC PPR + Sleeper PPR
James Cook,RB,BUF,7,,,9,12.6,10.5,3,10.5,FantasyData PPR + FFC PPR + Sleeper PPR
Devon Achane,RB,MIA,6,,,13,10.3,12,3,12,FantasyData PPR + FFC PPR + Sleeper PPR
Chase Brown,RB,CIN,6,,,14,13.5,17.5,3,14,FantasyData PPR + FFC PPR + Sleeper PPR
Justin Jefferson,WR,MIN,6,,,12,11.7,11.2,3,11.7,FantasyData PPR + FFC PPR + Sleeper PPR
CeeDee Lamb,WR,DAL,14,,,11,10.5,9.5,3,10.5,FantasyData PPR + FFC PPR + Sleeper PPR
Saquon Barkley,RB,PHI,10,,,16,19.8,13.7,3,16,FantasyData PPR + FFC PPR + Sleeper PPR
Omarion Hampton,RB,LAC,7,,,15,23.2,15.5,3,15.5,FantasyData PPR + FFC PPR + Sleeper PPR
Kenneth Walker III,RB,KC,5,,,17,22.3,19.9,3,19.9,FantasyData PPR + FFC PPR + Sleeper PPR
Trey McBride,TE,ARI,14,,,22,28.7,20.1,3,22,FantasyData PPR + FFC PPR + Sleeper PPR
Drake London,WR,ATL,11,,,18,9.9,16.1,3,16.1,FantasyData PPR + FFC PPR + Sleeper PPR
Derrick Henry,RB,BAL,13,,,20,17.7,20.3,3,20,FantasyData PPR + FFC PPR + Sleeper PPR
A.J. Brown,WR,NE,11,,,19,18.1,18.3,3,18.3,FantasyData PPR + FFC PPR + Sleeper PPR
Brock Bowers,TE,LV,13,,,21,35.5,22.1,3,22.1,FantasyData PPR + FFC PPR + Sleeper PPR
George Pickens,WR,DAL,14,,,23,19.7,23.3,3,23,FantasyData PPR + FFC PPR + Sleeper PPR
Javonte Williams,RB,DAL,14,,,31,36.8,36.2,3,36.2,FantasyData PPR + FFC PPR + Sleeper PPR
Josh Allen,QB,BUF,7,,,26,33.6,24.5,3,26,FantasyData PPR + FFC PPR + Sleeper PPR
Chris Olave,WR,NO,8,,,25,20.7,30.3,3,25,FantasyData PPR + FFC PPR + Sleeper PPR
Nico Collins,WR,HOU,8,,,24,21.2,25.7,3,24,FantasyData PPR + FFC PPR + Sleeper PPR
Jeremiyah Love,RB,ARI,14,,,29,29,26.8,3,29,FantasyData PPR + FFC PPR + Sleeper PPR
Malik Nabers,WR,NYG,8,,,27,27.2,27.8,3,27.2,FantasyData PPR + FFC PPR + Sleeper PPR
Josh Jacobs,RB,GB,11,,,35,31.2,31.4,3,31.4,FantasyData PPR + FFC PPR + Sleeper PPR
Kyren Williams,RB,LAR,11,,,30,31.4,29.2,3,30,FantasyData PPR + FFC PPR + Sleeper PPR
Breece Hall,RB,NYJ,13,,,32,34.4,32.5,3,32.5,FantasyData PPR + FFC PPR + Sleeper PPR
Rashee Rice,WR,KC,5,,,28,14.8,27,3,27,FantasyData PPR + FFC PPR + Sleeper PPR
Cam Skattebo,RB,NYG,8,,,41,36,43.7,3,41,FantasyData PPR + FFC PPR + Sleeper PPR
Zay Flowers,WR,BAL,13,,,34,24.9,41.1,3,34,FantasyData PPR + FFC PPR + Sleeper PPR
D.J. Moore,WR,BUF,7,,,52,49,58.5,3,52,FantasyData PPR + FFC PPR + Sleeper PPR
Emeka Egbuka,WR,TB,10,,,36,36.2,40.5,3,36.2,FantasyData PPR + FFC PPR + Sleeper PPR
DeVonta Smith,WR,PHI,10,,,33,29.3,37.5,3,33,FantasyData PPR + FFC PPR + Sleeper PPR
Travis Etienne,RB,NO,8,,,39,41.4,44.7,3,41.4,FantasyData PPR + FFC PPR + Sleeper PPR
Bucky Irving,RB,TB,10,,,49,45.8,39.3,3,45.8,FantasyData PPR + FFC PPR + Sleeper PPR
