name,position,team,sleeper_ppr,sleeper_rank,ffc_ppr,decision
Ricky Pearsall,WR,SF,244.4,261,,NOT_ADDED_SINGLE_SOURCE_OR_LOW_CONFIDENCE
Shedeur Sanders,QB,CLE,236.1,236,,NOT_ADDED_SINGLE_SOURCE_OR_LOW_CONFIDENCE
Tua Tagovailoa,QB,ATL,236.5,237,,NOT_ADDED_SINGLE_SOURCE_OR_LOW_CONFIDENCE
Tory Horton,WR,SEA,228.7,223,,NOT_ADDED_SINGLE_SOURCE_OR_LOW_CONFIDENCE
Theo Johnson,TE,NYG,232.2,229,,NOT_ADDED_SINGLE_SOURCE_OR_LOW_CONFIDENCE
Colby Parkinson,TE,LAR,251.4,274,,NOT_ADDED_SINGLE_SOURCE_OR_LOW_CONFIDENCE
Trey Benson,RB,ARI,255.2,283,,NOT_ADDED_SINGLE_SOURCE_OR_LOW_CONFIDENCE
Andrew Beck,RB,NYJ,254,281,,NOT_ADDED_SINGLE_SOURCE_OR_LOW_CONFIDENCE
Najee Harris,RB,NYG,212.3,200,,NOT_ADDED_SINGLE_SOURCE_OR_LOW_CONFIDENCE
Chimere Dike,WR,TEN,229.4,225,155.2,NOT_ADDED_SINGLE_SOURCE_OR_LOW_CONFIDENCE
Mason Taylor,TE,NYJ,224.3,216,,NOT_ADDED_SINGLE_SOURCE_OR_LOW_CONFIDENCE
Jack Bech,WR,LV,238.2,241,,NOT_ADDED_SINGLE_SOURCE_OR_LOW_CONFIDENCE
Kendre Miller,RB,NO,224.8,217,,NOT_ADDED_SINGLE_SOURCE_OR_LOW_CONFIDENCE
Kyle Williams,WR,NE,222.1,212,,NOT_ADDED_SINGLE_SOURCE_OR_LOW_CONFIDENCE
Devin Neal,RB,NO,211.9,199,,NOT_ADDED_SINGLE_SOURCE_OR_LOW_CONFIDENCE
Michael Trigg,TE,DAL,249.7,270,,NOT_ADDED_SINGLE_SOURCE_OR_LOW_CONFIDENCE
Audric Estime,RB,NO,237.4,238,,NOT_ADDED_SINGLE_SOURCE_OR_LOW_CONFIDENCE
Michael Penix,QB,ATL,227.9,221,,NOT_ADDED_SINGLE_SOURCE_OR_LOW_CONFIDENCE
Jarquez Hunter,RB,LAR,240.6,246,,NOT_ADDED_SINGLE_SOURCE_OR_LOW_CONFIDENCE
Elic Ayomanor,WR,TEN,241.5,251,,NOT_ADDED_SINGLE_SOURCE_OR_LOW_CONFIDENCE
Marvin Mims,WR,DEN,219.5,210,,NOT_ADDED_SINGLE_SOURCE_OR_LOW_CONFIDENCE
Malachi Corley,WR,CLE,242,256,,NOT_ADDED_SINGLE_SOURCE_OR_LOW_CONFIDENCE
