player,nfl_team,current_adp,planning_adp,situation_score,breakout_score,competition_score,depth_role,rz20Role,rz10Role,rz5Role,historicalOwnRoleDelta,historicalGoalLineCompetition,goalLineCompetition,topHistoricalCompetitor2026Team,topCompetitorStillTeammate,qbGoalLineShare,teHybridGoalLineShare,shortYardageSpecialist,teamScoringEnvironment,roleChangeDirection,roleChangeMagnitude,confidence,currentSystemContext,evidenceSummary,situation_summary
Jahmyr Gibbs,DET,1.600000,1.05,81,,80,RB1,0.577778,0.448980,0.370370,-0.065527,0.629630,,HOU,False,0.000000,0.000000,1.000000,3.294118,PROJECTED_RELIEF,0.629630,MEDIUM,"Established 2025 role; 2025 top inside-5 competitor David Montgomery is on Houston in the current pool, creating projected relief but no quantified current share.",2025 retrospective all-rusher shares i20/i10/i5=0.58/0.45/0.37; top i5 teammate David Montgomery (RB) 0.63; same team; current competitor continuity=no/unknown,"RB1. No current injury flag found in the public CBS listing at retrieval. Role, offense-context, and competition scores are retained unless the availability change required a documented situation adjustment."
Bijan Robinson,ATL,1.900000,2,78,,80,RB1,0.500000,0.439024,0.458333,-0.208333,0.416667,,ARI,False,0.125000,0.000000,1.000000,2.117647,PROJECTED_RELIEF,0.416667,MEDIUM,"Established role under the post-Arthur Smith offense; 2025 top inside-5 competitor Tyler Allgeier is on Arizona in the current pool, creating projected relief but no quantified current share.",2025 retrospective all-rusher shares i20/i10/i5=0.50/0.44/0.46; top i5 teammate Tyler Allgeier (RB) 0.42; same team; current competitor continuity=no/unknown,"RB1. No current injury flag found in the public CBS listing at retrieval. Role, offense-context, and competition scores are retained unless the availability change required a documented situation adjustment."
Christian McCaffrey,SF,6.600000,5.55,78,,80,RB1,0.757576,0.804348,0.769231,0.734748,0.115385,0.115385,SF,True,0.115385,0.000000,0.000000,2.823529,RISING,0.734748,MEDIUM,No independently verified 2026 role report; prior-season evidence only.,2025 retrospective all-rusher shares i20/i10/i5=0.76/0.80/0.77; top i5 teammate Brock Purdy (QB) 0.08; same team; current competitor continuity=yes,"RB1. Undisclosed; Questionable for Week 1 at L.A. Rams; CBS updated Fri, Aug 21; NFFC Return Date 8/27/2026 is non-publication metadata. Role, offense-context, and competition scores are retained unless the availability change required a documented situation adjustment."
Jonathan Taylor,IND,7.500000,7,79,,80,RB1,0.689320,0.677966,0.666667,0.153846,0.277778,0.277778,IND,True,0.194444,0.083333,0.000000,3.058824,RISING,0.153846,MEDIUM,No independently verified 2026 role report; prior-season evidence only.,2025 retrospective all-rusher shares i20/i10/i5=0.69/0.68/0.67; top i5 teammate Daniel Jones (QB) 0.17; same team; current competitor continuity=yes,"RB1. No current injury flag found in the public CBS listing at retrieval. Role, offense-context, and competition scores are retained unless the availability change required a documented situation adjustment."
De'Von Achane,MIA,10.400000,12,69,,80,RB1,0.457143,0.343750,0.312500,-0.387500,0.375000,0.375000,MIA,True,0.000000,0.062500,1.000000,2.176471,DECLINING,-0.387500,MEDIUM,No independently verified 2026 role report; prior-season evidence only.,2025 retrospective all-rusher shares i20/i10/i5=0.46/0.34/0.31; top i5 teammate Ollie Gordon II (RB) 0.38; same team; current competitor continuity=yes,"RB1. No current injury flag found in the public CBS listing at retrieval. Role, offense-context, and competition scores are retained unless the availability change required a documented situation adjustment."
James Cook III,BUF,12.700000,10.5,89,,80,RB1,0.504505,0.412698,0.372093,-0.096657,0.418605,0.418605,BUF,True,0.395349,0.000000,1.000000,3.470588,STABLE,-0.096657,MEDIUM,No independently verified 2026 role report; prior-season evidence only.,2025 retrospective all-rusher shares i20/i10/i5=0.50/0.41/0.37; top i5 teammate Josh Allen (QB) 0.40; same team; current competitor continuity=yes,"RB1. No current injury flag found in the public CBS listing at retrieval. Role, offense-context, and competition scores are retained unless the availability change required a documented situation adjustment."
Chase Brown,CIN,13.400000,14,77,,80,RB1,0.627119,0.612903,0.650000,0.111538,0.200000,0.200000,CIN,True,0.150000,0.000000,1.000000,2.764706,STABLE,0.111538,MEDIUM,No independently verified 2026 role report; prior-season evidence only.,2025 retrospective all-rusher shares i20/i10/i5=0.63/0.61/0.65; top i5 teammate Samaje Perine (RB) 0.20; same team; current competitor continuity=yes,"RB1. No current injury flag found in the public CBS listing at retrieval. Role, offense-context, and competition scores are retained unless the availability change required a documented situation adjustment."
Ashton Jeanty,LV,15.100000,13.8,74,,80,RB1,0.744681,0.850000,0.846154,,0.153846,,UNKNOWN,False,0.153846,0.000000,0.000000,1.470588,NEW_ROLE,,MEDIUM,No independently verified 2026 role report; prior-season evidence only.,2025 retrospective all-rusher shares i20/i10/i5=0.74/0.85/0.85; top i5 teammate Geno Smith (QB) 0.15; same team; current competitor continuity=no/unknown,"RB1. No current injury flag found in the public CBS listing at retrieval. Role, offense-context, and competition scores are retained unless the availability change required a documented situation adjustment."
Derrick Henry,BAL,17.600000,20,80,,80,RB1,0.594340,0.769231,0.843750,-0.025815,0.125000,0.125000,BAL,True,0.031250,0.093750,0.000000,2.705882,STABLE,-0.025815,MEDIUM,No independently verified 2026 role report; prior-season evidence only.,2025 retrospective all-rusher shares i20/i10/i5=0.59/0.77/0.84; top i5 teammate Mark Andrews (TE) 0.09; same team; current competitor continuity=yes,"RB1. No current injury flag found in the public CBS listing at retrieval. Role, offense-context, and competition scores are retained unless the availability change required a documented situation adjustment."
Saquon Barkley,PHI,19.700000,16,86,,80,RB1,0.488889,0.510204,0.454545,0.019763,0.363636,0.363636,PHI,True,0.363636,0.000000,1.000000,2.529412,STABLE,0.019763,MEDIUM,No independently verified 2026 role report; prior-season evidence only.,2025 retrospective all-rusher shares i20/i10/i5=0.49/0.51/0.45; top i5 teammate Jalen Hurts (QB) 0.36; same team; current competitor continuity=yes,"RB1. No current injury flag found in the public CBS listing at retrieval. Role, offense-context, and competition scores are retained unless the availability change required a documented situation adjustment."
