season,adp_name,adp_team,adp_overall,ppr_points,ppr_ppg,adp_residual_ppr,workload_residual_ppr,prior_carries,prior_targets,prior_touch_share,prior_i20_share,prior_i10_share,prior_i5_share,prior_highest_teammate_i20_name,prior_highest_teammate_i20_position,prior_highest_teammate_i20_share,prior_highest_teammate_i20_rush_tds,prior_highest_teammate_i10_name,prior_highest_teammate_i10_position,prior_highest_teammate_i10_share,prior_highest_teammate_i10_rush_tds,prior_highest_teammate_i5_name,prior_highest_teammate_i5_position,prior_highest_teammate_i5_share,prior_highest_teammate_i5_rush_tds,prior_highest_other_rb_i5_share,prior_non_rb_i10_share,prior_non_rb_i5_share,prior_qb_i5_share,prior_te_hybrid_i5_share,prior_short_yardage_specialist,prior_specialist_name,prior_specialist_position,prior_rb_i5_hhi
2023,Rashaad Penny,PHI,97.300000,4.800000,1.600000,-129.234085,-107.254648,57.000000,5.000000,0.075123,0.073529,0.047619,0.000000,Kenneth Walker,RB,0.750000,7.000000,Kenneth Walker,RB,0.761905,2.000000,Kenneth Walker,RB,1.000000,2.000000,1.000000,0.095238,0.000000,0.000000,0.000000,1.000000,Kenneth Walker,RB,1.000000
2025,Justice Hill,BAL,167.300000,65.200000,8.150000,-0.811397,-15.899304,47.000000,51.000000,0.103609,0.067416,0.066667,0.043478,Derrick Henry,RB,0.629213,13.000000,Derrick Henry,RB,0.711111,13.000000,Derrick Henry,RB,0.869565,10.000000,0.869565,0.222222,0.086957,0.086957,0.000000,1.000000,Derrick Henry,RB,0.909297
2025,Keaton Mitchell,LAC,174.300000,55.400000,4.616667,-3.804747,8.148895,15.000000,1.000000,0.018626,0.000000,0.000000,0.000000,Derrick Henry,RB,0.629213,13.000000,Derrick Henry,RB,0.711111,13.000000,Derrick Henry,RB,0.869565,10.000000,0.869565,0.222222,0.086957,0.086957,0.000000,1.000000,Derrick Henry,RB,0.909297
2023,Zamir White,LV,153.700000,75.900000,5.838462,5.706641,8.828964,17.000000,0.000000,0.021711,0.035088,0.000000,0.000000,Josh Jacobs,RB,0.771930,10.000000,Josh Jacobs,RB,0.857143,8.000000,Josh Jacobs,RB,0.866667,5.000000,0.866667,0.035714,0.000000,0.000000,0.000000,1.000000,Josh Jacobs,RB,0.768889
2025,Braelon Allen,NYJ,148.000000,17.300000,4.325000,-67.478304,-89.517262,92.000000,27.000000,0.148794,0.244444,0.263158,0.153846,Breece Hall,RB,0.577778,5.000000,Breece Hall,RB,0.684211,3.000000,Breece Hall,RB,0.846154,3.000000,0.846154,0.052632,0.000000,0.000000,0.000000,1.000000,Breece Hall,RB,0.739645
2024,Chase Brown,CIN,91.900000,255.000000,15.937500,113.441154,111.212577,44.000000,15.000000,0.073698,0.090909,0.021739,0.000000,Joe Mixon,RB,0.766234,9.000000,Joe Mixon,RB,0.826087,8.000000,Joe Mixon,RB,0.840000,7.000000,0.840000,0.130435,0.160000,0.160000,0.000000,1.000000,Joe Mixon,RB,1.000000
2022,Nyheim Hines,BUF,93.900000,0.000000,0.000000,-145.691169,-134.030127,56.000000,57.000000,0.118372,0.045872,0.040000,0.000000,Jonathan Taylor,RB,0.816514,14.000000,Jonathan Taylor,RB,0.820000,13.000000,Jonathan Taylor,RB,0.833333,12.000000,0.833333,0.120000,0.138889,0.138889,0.000000,1.000000,Jonathan Taylor,RB,0.937565
2023,D'Andre Swift,PHI,75.900000,201.300000,12.581250,43.042661,43.555932,100.000000,70.000000,0.173709,0.250000,0.187500,0.116279,Jamaal Williams,RB,0.590000,16.000000,Jamaal Williams,RB,0.718750,15.000000,Jamaal Williams,RB,0.790698,14.000000,0.790698,0.046875,0.046512,0.023256,0.023256,1.000000,Jamaal Williams,RB,0.704938
2024,Tyjae Spears,TEN,91.400000,113.600000,9.466667,-28.463441,-21.957550,100.000000,70.000000,0.207367,0.196429,0.156250,0.142857,Derrick Henry,RB,0.660714,10.000000,Derrick Henry,RB,0.750000,8.000000,Derrick Henry,RB,0.761905,7.000000,0.761905,0.093750,0.095238,0.095238,0.000000,1.000000,Derrick Henry,RB,0.734072
2023,Aaron Jones Sr.,GB,38.900000,136.900000,12.445455,-63.238667,-69.493958,213.000000,73.000000,0.337888,0.469697,0.321429,0.214286,A.J. Dillon,RB,0.424242,6.000000,A.J. Dillon,RB,0.607143,5.000000,A.J. Dillon,RB,0.714286,4.000000,0.714286,0.035714,0.071429,0.071429,0.000000,1.000000,A.J. Dillon,RB,0.644970
