outcome,model,n,features,in_sample_r2,oos_r2,oos_mae,oos_rmse,incremental_oos_r2_vs_m2,standardized_coefficients
ppr_points,M1_MARKET,236,adp_overall,0.298335,0.282532,65.384400,81.427564,-0.013508,"{""adp_overall"": -52.507600032112116}"
ppr_points,M2_MARKET_WORKLOAD,236,adp_overall;prior_carries;prior_targets;prior_touch_share;prior_target_share;prior_available;team_changed,0.338232,0.296040,65.657654,80.657364,0.000000,"{""adp_overall"": -40.80076264610551, ""prior_available"": 2.8141192582272527, ""prior_carries"": 48.7716520298927, ""prior_target_share"": -44.86777341547621, ""prior_targets"": 62.06094356368978, ""prior_touch_share"": -47.93652618931818, ""team_changed"": -10.159893363168273}"
ppr_points,M3_ADD_INSIDE20,236,adp_overall;prior_carries;prior_targets;prior_touch_share;prior_target_share;prior_available;team_changed;prior_i20_rb_share,0.338385,0.285774,65.948748,81.243367,-0.010266,"{""adp_overall"": -40.85721490204251, ""prior_available"": 3.0149141081275257, ""prior_carries"": 50.3300570685753, ""prior_i20_rb_share"": 4.679047887231297, ""prior_target_share"": -42.05043578101875, ""prior_targets"": 60.29955779976656, ""prior_touch_share"": -55.0167155276727, ""team_changed"": -10.329911513506346}"
ppr_points,M4_ADD_INSIDE10,236,adp_overall;prior_carries;prior_targets;prior_touch_share;prior_target_share;prior_available;team_changed;prior_i10_rb_share,0.338373,0.278155,66.340478,81.675590,-0.017886,"{""adp_overall"": -40.82335170091912, ""prior_available"": 2.496828130017566, ""prior_carries"": 48.195040077772475, ""prior_i10_rb_share"": -3.742895733656063, ""prior_target_share"": -47.22411278934721, ""prior_targets"": 63.623338286838546, ""prior_touch_share"": -42.9698568588814, ""team_changed"": -9.96736456153866}"
ppr_points,M5_ADD_INSIDE5,236,adp_overall;prior_carries;prior_targets;prior_touch_share;prior_target_share;prior_available;team_changed;prior_i5_rb_share,0.339264,0.290632,65.820585,80.966587,-0.005408,"{""adp_overall"": -40.75633610545282, ""prior_available"": 1.9822595735184674, ""prior_carries"": 48.13538480119041, ""prior_i5_rb_share"": -8.11160438075702, ""prior_target_share"": -50.59631736991987, ""prior_targets"": 65.94603008993225, ""prior_touch_share"": -37.77313952722023, ""team_changed"": -9.716465725123147}"
ppr_points,M6_FULL_RED_ZONE,236,adp_overall;prior_carries;prior_targets;prior_touch_share;prior_target_share;prior_available;team_changed;prior_i20_rb_share;prior_i10_rb_share;prior_i5_rb_share;prior_i20_target_share;prior_offensive_tds_per_game;prior_i10_rush_rate;prior_highest_teammate_i5_share;prior_non_rb_i10_share;prior_non_rb_i5_share,0.358751,0.256878,67.255866,82.870550,-0.039162,"{""adp_overall"": -41.525160035801704, ""prior_available"": -24.336231800954078, ""prior_carries"": 20.372140841798192, ""prior_highest_teammate_i5_share"": 1.0348762834159289, ""prior_i10_rb_share"": -13.920095042454108, ""prior_i10_rush_rate"": 26.41440528820306, ""prior_i20_rb_share"": 20.509916745857222, ""prior_i20_target_share"": 6.197382116252903, ""prior_i5_rb_share"": -11.990148259950594, ""prior_non_rb_i10_share"": 8.403928230949843, ""prior_non_rb_i5_share"": 2.951425516318981, ""prior_offensive_tds_per_game"": -7.900152253536023, ""prior_target_share"": -85.23361566703736, ""prior_targets"": 89.70056821235819, ""prior_touch_share"": -7.12187096370989, ""team_changed"": -10.862111030777237}"
ppr_points,M7_ROLE_CHANGE,236,adp_overall;prior_carries;prior_targets;prior_touch_share;prior_target_share;prior_available;team_changed;touch_share_delta;target_share_delta;i20_rb_share_delta;i10_rb_share_delta;i5_rb_share_delta;teammate_i5_delta;head_coach_change;two_year_available,0.374804,0.248245,67.812709,83.350530,-0.047796,"{""adp_overall"": -40.34402257365001, ""head_coach_change"": 6.37284964691268, ""i10_rb_share_delta"": 9.408732288380143, ""i20_rb_share_delta"": 28.839743441975724, ""i5_rb_share_delta"": -13.302585013722975, ""prior_available"": 5.580024951103127, ""prior_carries"": 52.7168532189894, ""prior_target_share"": -34.53347429541811, ""prior_targets"": 60.35691633335735, ""prior_touch_share"": -54.070880867386435, ""target_share_delta"": -10.704471015769847, ""team_changed"": -8.438823013009516, ""teammate_i5_delta"": -6.741231433628282, ""touch_share_delta"": -22.29052179454461, ""two_year_available"": -11.984292609906484}"
ppr_points,M2_RB_DEPTH_COMP,236,adp_overall;prior_carries;prior_targets;prior_touch_share;prior_target_share;prior_available;team_changed;prior_highest_other_rb_i5_share,0.340363,0.289731,65.994279,81.018012,-0.006309,"{""adp_overall"": -40.65920391161083, ""prior_available"": 11.23794116260729, ""prior_carries"": 48.184959050757485, ""prior_highest_other_rb_i5_share"": -7.640933007768078, ""prior_target_share"": -38.226937669244435, ""prior_targets"": 57.61383671850443, ""prior_touch_share"": -55.21391253655172, ""team_changed"": -10.485881713410631}"
ppr_points,M2_ALL_TEAMMATE_COMP,236,adp_overall;prior_carries;prior_targets;prior_touch_share;prior_target_share;prior_available;team_changed;prior_highest_teammate_i5_share;prior_non_rb_i10_share;prior_non_rb_i5_share;prior_qb_i5_share;prior_te_hybrid_i5_share;prior_short_yardage_specialist,0.352402,0.243665,67.896616,83.604020,-0.052375,"{""adp_overall"": -41.69847809433096, ""prior_available"": -8.679925198018243, ""prior_carries"": 40.27610441406609, ""prior_highest_teammate_i5_share"": 2.4899903178259706, ""prior_non_rb_i10_share"": 3.419195063597435, ""prior_non_rb_i5_share"": 22.11752225766724, ""prior_qb_i5_share"": -12.82448051564101, ""prior_short_yardage_specialist"": 1.819554991017899, ""prior_target_share"": -47.19702681489606, ""prior_targets"": 61.283993753862994, ""prior_te_hybrid_i5_share"": -3.9911898329424718, ""prior_touch_share"": -34.58153586030954, ""team_changed"": -10.175638478020861}"
ppr_ppg,M1_MARKET,236,adp_overall,0.381661,0.368641,3.402889,4.379024,-0.008183,"{""adp_overall"": -3.404691239620601}"
ppr_ppg,M2_MARKET_WORKLOAD,236,adp_overall;prior_carries;prior_targets;prior_touch_share;prior_target_share;prior_available;team_changed,0.409781,0.376824,3.412042,4.350553,0.000000,"{""adp_overall"": -2.8889808579846727, ""prior_available"": 0.4355833722230238, ""prior_carries"": 2.4467055274628824, ""prior_target_share"": -1.4570513494175672, ""prior_targets"": 2.164371590228691, ""prior_touch_share"": -2.5795841834199296, ""team_changed"": -0.6497094281878854}"
ppr_ppg,M3_ADD_INSIDE20,236,adp_overall;prior_carries;prior_targets;prior_touch_share;prior_target_share;prior_available;team_changed;prior_i20_rb_share,0.412378,0.375480,3.411995,4.355241,-0.001344,"{""adp_overall"": -2.902289351273641, ""prior_available"": 0.482920309746644, ""prior_carries"": 2.814096035681867, ""prior_i20_rb_share"": 1.1030750919054932, ""prior_target_share"": -0.7928702927246256, ""prior_targets"": 1.749128829255283, ""prior_touch_share"": -4.248723011091822, ""team_changed"": -0.6897908275087945}"
ppr_ppg,M4_ADD_INSIDE10,236,adp_overall;prior_carries;prior_targets;prior_touch_share;prior_target_share;prior_available;team_changed;prior_i10_rb_share,0.410506,0.370010,3.430729,4.374274,-0.006814,"{""adp_overall"": -2.886051001094531, ""prior_available"": 0.47673682489441316, ""prior_carries"": 2.5214935393913094, ""prior_i10_rb_share"": 0.48546293524847894, ""prior_target_share"": -1.1514282409256928, ""prior_targets"": 1.9617250880843025, ""prior_touch_share"": -3.223773614047504, ""team_changed"": -0.6746808951508901}"
ppr_ppg,M5_ADD_INSIDE5,236,adp_overall;prior_carries;prior_targets;prior_touch_share;prior_target_share;prior_available;team_changed;prior_i5_rb_share,0.409865,0.373506,3.423528,4.362118,-0.003318,"{""adp_overall"": -2.8882536592854597, ""prior_available"": 0.42196702326224206, ""prior_carries"": 2.4362907462472783, ""prior_i5_rb_share"": -0.13277532005754256, ""prior_target_share"": -1.5508193910172494, ""prior_targets"": 2.2279648798862612, ""prior_touch_share"": -2.413224132610508, ""team_changed"": -0.6424511542632491}"
ppr_ppg,M6_FULL_RED_ZONE,236,adp_overall;prior_carries;prior_targets;prior_touch_share;prior_target_share;prior_available;team_changed;prior_i20_rb_share;prior_i10_rb_share;prior_i5_rb_share;prior_i20_target_share;prior_offensive_tds_per_game;prior_i10_rush_rate;prior_highest_teammate_i5_share;prior_non_rb_i10_share;prior_non_rb_i5_share,0.437170,0.351908,3.511894,4.436671,-0.024915,"{""adp_overall"": -2.9282325858569234, ""prior_available"": -0.2462144347573319, ""prior_carries"": 1.4896072333642043, ""prior_highest_teammate_i5_share"": -0.48732046933960055, ""prior_i10_rb_share"": -0.22555142980556167, ""prior_i10_rush_rate"": 1.2878201715912123, ""prior_i20_rb_share"": 1.4257084739115213, ""prior_i20_target_share"": 0.2303254023131982, ""prior_i5_rb_share"": -1.2778822808231998, ""prior_non_rb_i10_share"": 0.7825653837167895, ""prior_non_rb_i5_share"": -0.10667403059340388, ""prior_offensive_tds_per_game"": -0.5569837787066935, ""prior_target_share"": -2.833296741442654, ""prior_targets"": 3.227245490641852, ""prior_touch_share"": -1.7906654221345681, ""team_changed"": -0.6841606089105216}"
ppr_ppg,M7_ROLE_CHANGE,236,adp_overall;prior_carries;prior_targets;prior_touch_share;prior_target_share;prior_available;team_changed;touch_share_delta;target_share_delta;i20_rb_share_delta;i10_rb_share_delta;i5_rb_share_delta;teammate_i5_delta;head_coach_change;two_year_available,0.444401,0.330410,3.537290,4.509659,-0.046414,"{""adp_overall"": -2.946463827773944, ""head_coach_change"": 0.3728158169896836, ""i10_rb_share_delta"": 0.22650835523235813, ""i20_rb_share_delta"": 1.9381434029276512, ""i5_rb_share_delta"": -1.0160143259879564, ""prior_available"": 0.715783033550819, ""prior_carries"": 3.2334487869260746, ""prior_target_share"": -0.6431538040395871, ""prior_targets"": 1.8218877269115352, ""prior_touch_share"": -3.755325461253043, ""target_share_delta"": -0.31162085380866544, ""team_changed"": -0.5227414587318984, ""teammate_i5_delta"": -0.5715987441145778, ""touch_share_delta"": -1.0613018731893555, ""two_year_available"": -0.6347655969707262}"
ppr_ppg,M2_RB_DEPTH_COMP,236,adp_overall;prior_carries;prior_targets;prior_touch_share;prior_target_share;prior_available;team_changed;prior_highest_other_rb_i5_share,0.416908,0.377468,3.435780,4.348303,0.000645,"{""adp_overall"": -2.8741389981263348, ""prior_available"": 1.3187869740541371, ""prior_carries"": 2.3851931452896826, ""prior_highest_other_rb_i5_share"": -0.8011208724987479, ""prior_target_share"": -0.7607866234039451, ""prior_targets"": 1.698110452709479, ""prior_touch_share"": -3.3425886612865905, ""team_changed"": -0.6838879861342898}"
ppr_ppg,M2_ALL_TEAMMATE_COMP,236,adp_overall;prior_carries;prior_targets;prior_touch_share;prior_target_share;prior_available;team_changed;prior_highest_teammate_i5_share;prior_non_rb_i10_share;prior_non_rb_i5_share;prior_qb_i5_share;prior_te_hybrid_i5_share;prior_short_yardage_specialist,0.431502,0.343571,3.497319,4.465117,-0.033253,"{""adp_overall"": -2.9261000844932687, ""prior_available"": 0.2484948089777311, ""prior_carries"": 1.9611183554477603, ""prior_highest_teammate_i5_share"": -0.4457200814897922, ""prior_non_rb_i10_share"": 0.6129649999179929, ""prior_non_rb_i5_share"": 0.9308536431027954, ""prior_qb_i5_share"": -0.7509254302678825, ""prior_short_yardage_specialist"": 0.225774579076645, ""prior_target_share"": -1.2064202088754423, ""prior_targets"": 1.9003427761016107, ""prior_te_hybrid_i5_share"": -0.29226792912354793, ""prior_touch_share"": -2.2694773445456757, ""team_changed"": -0.650227261879935}"
adp_residual_ppr,A0_INTERCEPT,236,,0.000000,-0.021564,66.036220,82.300816,0.000000,{}
adp_residual_ppr,A1_ESTABLISHED_RED_ZONE,236,prior_i20_rb_share;prior_i10_rb_share;prior_i5_rb_share;prior_offensive_tds_per_game,0.011429,-0.033605,66.364684,82.784403,-0.012040,"{""prior_i10_rb_share"": -9.996913713997628, ""prior_i20_rb_share"": 28.444674972723547, ""prior_i5_rb_share"": -13.163144695748974, ""prior_offensive_tds_per_game"": 1.4097634078149426}"
