season,adp_name,adp_team,adp_overall,ppr_points,ppr_ppg,adp_residual_ppr,workload_residual_ppr,touch_share_delta,target_share_delta,i20_share_delta,i10_share_delta,i5_share_delta,i20_rb_share_delta,i10_rb_share_delta,i5_rb_share_delta,teammate_i5_delta,head_coach_change,team_changed,two_year_available,role_change_category
2024,Rachaad White,TB,29.000000,205.600000,13.706667,0.563054,-2.668525,0.223083,0.047130,0.459091,0.560000,0.498039,0.614294,0.769231,0.733333,-0.447059,0,0,1,RISING
2023,Cam Akers,MIN,63.100000,46.700000,7.783333,-126.046015,-105.534681,0.259548,0.029858,0.484701,0.538462,0.533333,0.821818,0.823529,0.727273,-0.329412,0,1,1,RISING
2024,Kyren Williams,LAR,15.900000,278.100000,17.381250,59.842655,50.377713,0.254344,0.062657,0.629213,0.634615,0.620690,0.736842,0.702128,0.666667,-0.326437,0,0,1,RISING
2024,Gus Edwards,LAC,100.600000,64.100000,5.827273,-68.678886,-44.906348,0.138534,0.022962,0.201808,0.337465,0.600619,0.287719,0.404682,0.660920,-0.063467,0,1,1,RISING
2025,Chase Brown,CIN,20.100000,278.300000,16.370588,69.154472,47.327118,0.269298,0.077879,0.547980,0.622705,0.538462,0.603215,0.682317,0.636364,-0.532308,0,0,1,RISING
2024,Chuba Hubbard,CAR,108.800000,245.600000,16.373333,121.096478,99.918134,0.203389,0.042523,0.371429,0.468254,0.563492,0.448814,0.501429,0.620833,-0.301587,1,0,1,RISING
2024,D'Andre Swift,CHI,56.500000,212.500000,12.500000,35.215800,58.393534,0.134337,-0.030958,0.105140,0.227885,0.283721,0.309890,0.495586,0.614891,-0.333555,1,1,1,RISING
2022,Joe Mixon,CIN,10.100000,239.500000,17.107143,6.267135,7.324585,0.233658,0.042461,0.460606,0.527778,0.559524,0.540377,0.615152,0.611111,-0.157143,0,0,1,RISING
2022,Austin Ekeler,LAC,2.700000,377.300000,22.194118,136.336722,95.583444,0.130125,0.036566,0.295748,0.351020,0.568783,0.341540,0.350129,0.602353,-0.226190,1,0,1,RISING
2025,Rico Dowdle,PIT,171.100000,218.300000,12.841176,155.983642,133.789446,0.213820,0.043816,0.284245,0.269231,0.200000,0.618216,0.619231,0.554286,-0.266667,0,1,1,RISING
2025,De'Von Achane,MIA,14.100000,322.100000,20.131250,107.120200,88.147172,0.172790,0.084682,0.290530,0.389744,0.533333,0.348535,0.423203,0.551657,-0.466667,0,0,1,RISING
2023,Saquon Barkley,NYG,9.000000,225.200000,16.085714,-8.783307,-15.502886,0.146471,0.055164,0.247179,0.316850,0.412500,0.341981,0.391667,0.533333,-0.072500,1,0,1,RISING
2024,Alexander Mattison,LV,160.700000,137.400000,9.814286,65.273480,58.823981,0.153239,0.044581,0.244444,0.161905,0.419643,0.358621,0.284211,0.518395,-0.419643,0,1,1,RISING
2022,Cordarrelle Patterson,ATL,91.400000,150.700000,11.592308,2.397205,-9.820747,0.161240,0.082518,0.388889,0.284220,0.346591,0.422085,0.365217,0.511364,-0.369318,1,0,1,RISING
2023,Raheem Mostert,MIA,122.800000,269.700000,17.980000,164.530073,152.258168,0.282917,0.074468,0.411765,0.380952,0.357143,0.552632,0.470588,0.500000,-0.035714,1,0,1,RISING
2025,James Cook III,BUF,33.700000,308.200000,18.129412,112.278821,121.230289,-0.022393,-0.021927,0.127952,0.202083,0.325893,0.153318,0.285976,0.476190,-0.056250,0,0,1,RISING
2025,Bijan Robinson,ATL,2.100000,374.800000,22.047059,148.151657,140.233388,0.108179,-0.034964,0.400669,0.361950,0.479167,0.372578,0.285714,0.470000,-0.178241,1,0,1,RISING
2025,Tank Bigsby,PHI,134.300000,53.800000,5.380000,-44.299891,-26.733473,0.173263,0.016127,0.373239,0.410714,0.357143,0.391919,0.457647,0.459559,-0.391775,0,1,1,RISING
2023,Rhamondre Stevenson,NE,23.400000,147.700000,12.308333,-69.983548,-60.786869,0.190996,0.138193,0.263604,0.378064,0.385714,0.328028,0.454082,0.452381,-0.371429,0,0,1,RISING
2024,Tony Pollard,TEN,81.700000,202.700000,12.668750,50.847408,45.094718,0.086250,0.009465,0.266176,0.310440,0.340741,0.375566,0.467308,0.450769,-0.570370,0,1,1,RISING
2023,Jamaal Williams,NO,104.200000,60.800000,4.676923,-65.423783,-80.534428,0.105008,-0.020668,0.161429,0.373922,0.433555,0.186813,0.369483,0.444653,-0.312292,0,1,1,RISING
2023,Derrick Henry,TEN,17.900000,238.100000,14.005882,14.190850,31.289632,0.237669,0.055581,0.388235,0.400433,0.419103,0.399930,0.454545,0.444444,-0.101365,0,0,1,RISING
2025,Rhamondre Stevenson,NE,119.700000,180.800000,12.914286,68.503381,55.394538,0.053099,-0.008609,0.172671,0.220690,0.298246,0.265036,0.328947,0.425000,-0.397661,1,0,1,RISING
2024,Javonte Williams,DEN,77.500000,161.900000,9.523529,5.808807,5.948552,0.262560,0.080481,0.445649,0.349248,0.354545,0.487500,0.362903,0.425000,-0.172727,1,0,1,RISING
2023,Khalil Herbert,CHI,94.400000,112.500000,9.375000,-24.816676,-9.535863,0.032837,0.002755,0.091382,0.076840,0.208333,0.142857,0.134199,0.421429,-0.125000,1,0,1,RISING
2025,Nick Chubb,FA,136.100000,88.300000,5.886667,-8.049610,4.403066,0.100005,0.010483,0.307692,0.259868,0.333333,0.380952,0.322115,0.400000,-0.146667,0,1,1,RISING
2023,D'Onta Foreman,CHI,137.100000,91.200000,10.133333,2.216640,9.552980,0.121304,-0.000004,0.191176,0.222222,0.301587,0.276836,0.273810,0.400000,-0.227513,1,1,1,RISING
2025,Jordan Mason,MIN,104.900000,130.900000,8.181250,4.212178,26.851077,0.152236,0.018745,0.295815,0.303571,0.280933,0.422055,0.447179,0.394089,-0.356998,0,1,1,RISING
2022,James Conner,ARI,28.400000,202.200000,15.553846,-11.915765,-19.316519,0.005799,0.002733,-0.025758,0.150117,0.266667,0.126923,0.271162,0.382609,-0.333333,1,0,1,RISING
2025,Aaron Jones Sr.,MIN,63.200000,120.700000,10.058333,-46.536010,-54.159864,0.170225,0.043179,0.245256,0.388889,0.345652,0.309942,0.455172,0.375817,-0.284783,1,0,1,RISING
2022,Jonathan Taylor,IND,1.300000,152.400000,13.854545,-90.025788,-87.381039,0.127829,0.030141,0.294775,0.309796,0.333333,0.334284,0.363636,0.375149,-0.107639,0,0,1,RISING
2023,Miles Sanders,CAR,52.900000,91.600000,5.725000,-92.691678,-96.148473,0.126375,-0.020803,0.198627,0.202857,0.153409,0.357911,0.393636,0.374194,0.162879,0,1,1,RISING
2025,J.K. Dobbins,DEN,94.000000,115.900000,11.590000,-21.386749,3.084841,0.279357,0.070634,0.373866,0.337773,0.292017,0.429524,0.383023,0.340517,-0.420168,1,1,1,RISING
2024,Alvin Kamara,NO,32.300000,265.300000,18.950000,63.593383,40.159056,-0.055980,-0.005814,0.028707,0.150649,0.232804,0.076754,0.134615,0.323529,0.010582,0,0,1,RISING
2022,Devin Singletary,BUF,74.400000,183.900000,11.493750,17.838150,-4.495268,0.022338,-0.007515,0.088636,0.110345,0.139785,0.163380,0.192308,0.315385,0.061828,0,0,1,RISING
2023,Devin Singletary,HOU,130.700000,163.100000,10.193750,66.872303,62.827230,0.011518,0.014458,0.079402,0.137024,0.121212,0.122894,0.239130,0.293706,0.037879,0,1,1,RISING
2024,Jerome Ford,CLE,98.500000,134.000000,9.571429,-0.898187,-47.821602,0.278319,0.105175,0.230769,0.315789,0.240000,0.285714,0.375000,0.285714,-0.139048,0,0,1,RISING
2024,David Montgomery,DET,54.600000,219.600000,15.685714,40.398338,19.471486,-0.040654,-0.068742,0.099978,0.127244,0.361111,-0.025850,-0.027569,0.273109,-0.111111,1,0,1,RISING
2022,Damien Harris,NE,59.800000,90.900000,8.263636,-90.413745,-90.316293,0.079618,0.023297,0.254646,0.410816,0.483193,0.139847,0.219388,0.271429,-0.491597,0,0,1,RISING
2024,Zack Moss,CIN,74.400000,83.900000,10.487500,-75.319685,-49.959251,0.159205,0.062204,0.193514,0.234687,0.188172,0.241935,0.303333,0.263975,-0.112903,1,1,1,RISING
2022,Rashaad Penny,SEA,63.300000,52.200000,10.440000,-125.457469,-109.450689,0.157401,0.016807,0.289776,0.256303,0.222222,0.322127,0.274359,0.250000,-0.125604,0,0,1,RISING
2023,Jerick McKinnon,KC,111.300000,80.200000,6.683333,-37.987096,-63.546855,0.123311,0.085346,0.200910,0.155556,0.172414,0.270772,0.212121,0.250000,-0.215172,0,0,1,RISING
2024,Raheem Mostert,MIA,64.100000,74.900000,6.809091,-94.714350,-108.783915,-0.004080,-0.016392,0.088235,0.219048,0.309524,-0.012402,0.176471,0.240741,-0.047619,0,0,1,RISING
2024,James Cook III,BUF,30.300000,266.700000,16.668750,62.975002,45.950648,0.178656,0.040569,0.143854,0.175987,0.142857,0.223359,0.265111,0.238095,-0.054545,0,0,1,RISING
2022,Saquon Barkley,NYG,15.500000,282.000000,17.625000,54.408246,56.815049,0.230094,0.082850,0.180000,0.189103,0.131944,0.286765,0.325000,0.237500,-0.243056,0,0,1,RISING
2025,Zach Charbonnet,SEA,99.400000,179.400000,11.212500,47.364095,27.562920,0.036282,0.018049,0.092494,0.134363,0.203416,0.115750,0.125000,0.234286,-0.223602,1,0,1,RISING
2024,Austin Ekeler,WAS,88.000000,132.300000,11.025000,-13.194690,-14.854014,-0.079543,-0.064000,-0.234611,-0.098246,0.042593,-0.131410,0.041558,0.230994,-0.014815,0,1,1,RISING
2024,Ty Chandler,MIN,130.300000,28.400000,2.840000,-74.405920,-97.906432,0.144539,0.041186,0.203704,0.178571,0.187500,0.275000,0.250000,0.230769,-0.044643,0,0,1,RISING
2022,Antonio Gibson,WAS,114.700000,165.900000,11.060000,41.937558,20.041260,0.098063,0.022124,0.164028,0.127033,0.156250,0.255128,0.222222,0.220000,-0.125000,0,0,1,RISING
2024,Isiah Pacheco,KC,19.800000,56.900000,8.128571,-157.421501,-163.485768,0.088891,0.059113,0.303201,0.232975,0.369458,0.312121,0.118077,0.214286,-0.064039,0,0,1,RISING
2024,Zamir White,LV,67.800000,33.300000,4.162500,-132.580344,-127.470337,0.137380,0.035647,0.196796,0.184211,0.157895,0.240702,0.218750,0.214286,-0.340351,0,0,1,RISING
2024,James Conner,ARI,47.600000,251.800000,15.737500,65.534002,57.000191,0.021960,-0.026381,0.206280,0.109649,0.152174,0.235465,0.194805,0.208333,-0.046584,1,0,1,RISING
2025,Tyjae Spears,TEN,139.000000,111.700000,8.592308,18.170288,3.954581,-0.061959,-0.077510,-0.005952,0.074519,0.220779,0.010833,0.100313,0.205742,-0.216450,1,0,1,RISING
2024,Brian Robinson,WAS,97.900000,163.800000,11.700000,28.296299,9.071238,0.036001,0.049041,0.170370,0.174419,0.075000,0.247222,0.288235,0.192857,-0.216667,0,0,1,RISING
